idx,announcement_id,category_large,title,ext,label_26class,confidence,label_19class,exclude_reason,note
1,PBLN_000000000117559,경영,2026년 단양군 단체관광객 유치 인센티브 지원계획 공고,hwp,기타지원,낮음,,대상밖-관광,여행사 대상 관광객 유치 인센티브
2,PBLN_000000000120418,경영,[경남] 김해시 2026년 창업기업 마케팅 역량강화 지원사업 디자인 멘토링 및 어워드 출품료 수혜기업 모집 공고,hwp,기타지원,낮음,경진대회,,재배정: 어워드 출품료 — 경진대회가 정확히 맞음
3,PBLN_000000000124845,경영,[경기] 시흥시 2026년 소규모 점포 시설개선 지원사업 모집 공고,hwp,설비,높음,설비,,간판·인테리어 등 시설개선비 90%
4,PBLN_000000000120134,경영,[광주] 2026년 평동산업단지 중소기업 보증료 지원사업 공고,hwp,보증,중간,보증,,보증료 30% 지원
5,PBLN_000000000117491,경영,2026년 완주군 단체관광객 유치 인센티브 지원사업 공고,hwp,기타지원,낮음,,대상밖-관광,여행사 대상
6,PBLN_000000000118301,경영,2026년 환경기업 해외 진출 전문 컨설팅 지원사업 상시 모집 공고,hwp,컨설팅,높음,컨설팅,,법무·관세 전문컨설팅 자문
7,PBLN_000000000117770,경영,2026년 전라남도 외래관광객 유치 여행사 대상 인센티브 지원 공고,hwp,기타지원,낮음,,대상밖-관광,여행사 대상
8,PBLN_000000000125248,경영,2026년 하반기 양산시 관광객 유치 인센티브 지원 계획 공고,hwpx,기타지원,낮음,,대상밖-관광,여행사 대상
9,PBLN_000000000119255,경영,[전남] 2026년 소상공인 디지털 전환 지원사업 신청ㆍ접수 공고,hwp,설비,높음,설비,,키오스크·테이블오더 기기 도입
10,PBLN_000000000120083,기술,2026년 데이터 가치평가 지원사업 공고,hwp,기술·IP평가,높음,기술·IP평가,,데이터 가치평가비 50%
11,PBLN_000000000119083,기술,[충북] 2026년 소상공인 IP출원(상표출원) 지원 사업 소상공인 수혜자 모집 공고,hwp,기술·IP평가,중간,기술·IP평가,,상표출원 — 평가가 아니라 출원이라 애매
12,PBLN_000000000125216,기술,[인천] 2027년 방산 중소기업 생산성향상 지원사업 수혜기업 모집 공고,hwp,설비,높음,설비,,금형·생산설비 고도화
13,PBLN_000000000124841,기술,2026년 DXㆍAX 컨설팅 지원사업 모집 공고,hwp,컨설팅,높음,컨설팅,,원문에 '장비구축 직접지원 아님' 명시
14,PBLN_000000000124769,기술,2026년 3차 푸드테크 연구지원센터 구축(세포배양식품) 실증 및 사업화 지원사업 지원기업 모집 공고,hwp,사업화,높음,사업화,,세포배양식품 실증·사업화
15,PBLN_000000000120201,기술,[경기] 포천시 2026년 신소재개발 프로그램 지원사업 모집 공고,hwp,연구개발,중간,연구개발,,건당 73만원으로 R&D치고 작음
16,PBLN_000000000124919,기술,[울산] 2026년 맞춤형 AI 솔루션 지원사업 수혜기업 모집 공고(지역특화 제조데이터 활성화 사업),hwp,SW·솔루션,높음,SW·솔루션,,"AI 솔루션 도입 최대 6,500만원"
17,PBLN_000000000124171,기술,2026년 산업혁신기반구축사업 휴머노이드 로봇 안전인증센터 구축 사업 휴머노이드 로봇시험 및 기술지원 수혜기업 모집 공고,hwp,성능인증,중간,성능인증,,신뢰성 평가 — 기술·IP평가와 경합
