row_id,title,support_type,support_method,support_unit,cohort,per_recipient,pred,err,grade,amount_type,n_evid_amounts,evidence_text,pred_won
PBLN_000000000072588,[대전] 2022년 중소기업 경영안정자금 지원 공고,융자,grant,project,bizinfo,200000.0,8.962866658006904,3.661836662342923,C_근거문_없음(제목만),per_project,0,[대전] 2022년 중소기업 경영안정자금 지원 공고,918050683.0
PBLN_000000000040147,[대전] 2019년 중소기업 경영안정자금 지원 공고,연구개발,grant,project,bizinfo,200000.0,8.819524985801234,3.5184949901372526,C_근거문_없음(제목만),per_project,0,[대전] 2019년 중소기업 경영안정자금 지원 공고,659971203.0
PBLN_000000000040908,KIC 운영(2019년 K-Global 프로젝트 사업 통합 공고),사업화,grant,company,bizinfo,5000000000.0,6.986828255014071,2.7121417493219475,C_근거문_없음(제목만),per_company,0,KIC 운영(2019년 K-Global 프로젝트 사업 통합 공고),9701262.0
PBLN_000000000120604,[경북] 구미시 2026년 중소기업 신용보증수수료 지원사업 공고,융자,loan,company,bizinfo,1000000.0,8.588901169527277,2.5889011695272774,B_근거문과_불일치,per_company,0, 구미시 기업사랑 및 기업활동 촉진 등에 관한 조례 제3조 및 제26조에 따라 2026년 구미시 중소기업 신용보증수수료 지원사업을 다음과 같이 공고합니다. ☞ 구미시 소재 중소기업 ※ 자세한 지원대상 공고문 참조 ☞ 운전ㆍ시설자금 융자 담보를 위한 신용보증기관의 보증수수료 지원,388062046.0
PBLN_000000000070093,[충북] 충주시 2021년 소상공인 응원지원금 지원사업 연장 공고(코로나19 대응),융자,grant,company,bizinfo,300000.0,7.946056050699036,2.468934795979373,C_근거문_없음(제목만),per_company,0,[충북] 충주시 2021년 소상공인 응원지원금 지원사업 연장 공고(코로나19 대응),88319388.0
PBLN_000000000117908,소상공인 경영안정 바우처 지원사업 시행 공고,융자,voucher,company,bizinfo,250000.0,7.8603350497316535,2.462395041059616,A_근거문에서_확인,per_company,5,"25만원 소상공인의 경영부담 완화를 위한 「소상공인 경영안정 바우처 지원사업」 시행계획을 다음과 같이 공고합니다. ☞ '25년 연 매출액 0원 초과 1억 400만원 미만이며, 영업중인 소상공인 ☞ 소상공인 1개사당 25만원 한도로 바우처 사용 지원 - 바우처 사용처 : 공과금, 4대 보험료, 차량연료비, 전통시장 화재공제료",72499506.0
PBLN_000000000119364,[서울] 2026년 중소기업 워라밸 포인트제 참여기업 모집 공고,컨설팅,grant,company,bizinfo,500000000.0,6.393537042147832,2.3054329621881866,B_근거문과_불일치,per_company,0," 서울특별시는 「서울시 남녀고용평등과 일ㆍ생활 균형 지원에 관한 조례」에 따라 중소기업이 아이 키우기 좋은 기업으로 성장할 수 있도록 「서울시 중소기업 워라밸 포인트제」 사업을 추진하고, 참여기업을 다음과 같이 모집하오니 많은 신청 바랍니다. ☞「중소기업기본법」제2조에 따른 중소기업 중 본사, 주사무소 또는 사업장 중 어느 하나가 서울시에 소재한 기업 ☞ ",2474783.0
PBLN_000000000040804,대ㆍ중소기업 동반진출 지원사업(2019년 중소기업 해외진출지원사업 통합 공고),판로,grant,project,bizinfo,500000000.0,6.455325372319114,2.2436446320169043,C_근거문_없음(제목만),per_project,0,대ㆍ중소기업 동반진출 지원사업(2019년 중소기업 해외진출지원사업 통합 공고),2853155.0
EXCEL2023_0557,2023년 대·중소기업 상생 일자리 프로그램,교육훈련,grant,company,taxonomy,100000.0,7.21597336878119,2.2159733687811896,A_근거문에서_확인,per_company,2,[운영비] 1일 1인 10만원 이내 / [훈련수당] 주 10만원 / [교육기간] 2주 이상,16442709.0
PBLN_000000000117371,[광주] 인공지능 유치기업 보조금 지원사업 모집 공고,사업화,grant,company,bizinfo,300000000.0,6.318494274185892,2.1586269805337706,A_근거문에서_확인,per_company,5,"3억 인공지능산업융합사업단에서는 광주 AI 집적단지 조성사업의 일환으로 유치한 기업을 대상으로 보조금 지원사업에 참여할 기업을 모집하오니 많은 관심과 참여 바랍니다. ☞ 기본요건과 세부지원항목별 지원기준을 만족 하는 기업 - (기본요건) 광주시와 업무협약체결하고 광주시에서 사업을 개시한 AI유치기업, 투자 1억원 이상 10억 미만, 상시고용 5명 이상 ※ ",2082065.0
