row_id,사업명,지원성격,지원방식,기업당지원한도,지원기업수,지원비율,사업기간,비교군_근거,판단(정상/비전형),판단이유
EXCEL2023_0194,2023년 농기자재 수출기업육성 지원기업,해외인증,grant,21000000.0,50.0,70.0,,비교군 부족,,
EXCEL2023_0575,2023년 마케팅지원(중소기업 제품 품질 개선지원),교육훈련,mixed,,100.0,80.0,,"지원 기업/과제 수가 비교군 대비 높음 (P90, 단위 비교군 1484건)",,
EXCEL2022_0775,2022년 창업성장기술개발사업(디딤돌),연구개발,grant,120000000.0,900.0,90.0,1.0,"기업(과제)당 지원한도가 비교군 대비 낮음 (P0, 성격x방식x단위x출처 비교군 121건) / 지원 기업/과제 수가 비교군 대비 높음 (P100, 성격x방식x단위x출처 비교군 114건) / 지원비율이 비교군 대비 높음 (P100, 성격x방식x출처 비교군 139건)",,
PBLN_000000000054433,[울산] 2020년 산업부주관 지역 제조업 설계지원사업 참여기업 모집 공고,설비,grant,30000000.0,12.0,,,비교군 부족,,
PBLN_000000000039890,원전해체방폐물안전관리기술개발(2019년 산업기술혁신사업 통합 시행계획 공고),연구개발,grant,1828000000.0,33.0,70.0,,"지원비율이 비교군 대비 낮음 (P10, 성격x방식 비교군 154건)",,
EXCEL2023_0168,2023년 물류효율화 사업(물류기업 해외진출 지원),컨설팅,grant,25000000.0,,50.0,,"지원비율이 비교군 대비 낮음 (P10, 성격x방식x출처 비교군 58건)",,
PBLN_000000000124650,[대구] 달성군 2026년 창업 성공패키지 참여기업 모집 공고,사업화,grant,7000000.0,,,26.0,"사업기간이 비교군 대비 높음 (P90, 성격x방식x출처 비교군 62건)",,
EXCEL2023_0632,2023년 희망리턴패키지 사업(경영개선지원),사업화,grant,20000000.0,,50.0,,"기업(과제)당 지원한도가 비교군 대비 낮음 (P0, 성격x방식x단위x출처 비교군 316건) / 지원비율이 비교군 대비 낮음 (P0, 성격x방식x출처 비교군 267건)",,
EXCEL2023_0816,2023년 해외 식품규격 인증 지원,해외인증,grant,20000000.0,,80.0,,비교군 부족,,
PBLN_000000000117038,[충북] 2026년 소상공인 육성자금 지원계획 공고,융자,loan,16666666666.666666,12.0,,26.0,"사업기간이 비교군 대비 높음 (P90, 성격x방식x출처 비교군 119건)",,
EXCEL2023_0440,2023년 수출지원기반활용사업(산업부 수출바우처_산업 글로벌 진출역량 강화),판로,voucher,100000000.0,,70.0,21.0,"기업(과제)당 지원한도가 비교군 대비 높음 (P100, 성격x단위 비교군 190건)",,
